DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA_Y_GRUPO_DE_EDAD,AÑO,Población_Total,Hombres,Mujeres,Tasa_Total,Brecha
Chuquisaca,Azurduy,Poroma,60 o más ,2001,2676,1289,1387,16.4424514200299,20.6640068507134
Chuquisaca,Azurduy,Poroma,60 o más ,2012,3136,1478,1658,44.5790816326531,28.9373211606987
Chuquisaca,Azurduy,Poroma,60 o más ,2024,3615,1778,1837,40.8298755186722,31.8806706047972
Chuquisaca,Azurduy,Poroma,Rural,2001,14119,6843,7276,50.5914016573412,29.2939410642385
Chuquisaca,Azurduy,Poroma,Rural,2012,14588,7343,7245,75.5758157389635,19.426921429657
Chuquisaca,Azurduy,Poroma,Rural,2024,16849,8313,8536,79.2747344056027,12.7481842950783
Chuquisaca,Azurduy,Poroma,15 a 24 ,2001,3922,1944,1978,79.6277409484957,20.097044859712
Chuquisaca,Azurduy,Poroma,15 a 24 ,2012,3602,1924,1678,97.3625763464742,0.752430251834312
Chuquisaca,Azurduy,Poroma,15 a 24 ,2024,4203,2001,2202,98.6200333095408,-0.036902529661603
Chuquisaca,Azurduy,Poroma,25 a 39 ,2001,3868,1805,2063,57.4457083764219,35.4321960730077
Chuquisaca,Azurduy,Poroma,25 a 39 ,2012,3844,1941,1903,87.1748178980229,13.7304556947015
Chuquisaca,Azurduy,Poroma,25 a 39 ,2024,4455,2203,2252,95.8922558922559,2.55865769993929
Chuquisaca,Azurduy,Poroma,40 a 59 ,2001,3653,1805,1848,37.1749247194087,38.4386804331403
Chuquisaca,Azurduy,Poroma,40 a 59 ,2012,4006,2000,2006,69.1213180229656,28.6145064805583
Chuquisaca,Azurduy,Poroma,40 a 59 ,2024,4576,2331,2245,75.6993006993007,20.5010610355822
Chuquisaca,Azurduy,Poroma,60 o más ,2001,2676,1289,1387,16.4424514200299,20.6640068507134
Chuquisaca,Azurduy,Poroma,60 o más ,2012,3136,1478,1658,44.5790816326531,28.9373211606987
